Dimensions,additional_images,attrib__bulb_type,attrib__color,attrib__designer,attrib__finish,attrib__material,attrib__number_bulbs,attrib__shade,attrib__switch_type,attrib__wattage,attrib__cord_length,cost_price,height,length,manufacturer,manufacturer_sku,min_price,preferred_shipment_type,product__collection,product__country_of_origin,product__description,lifestyle_images,product__sites,product__title,prop_65,shipment_boxes,width
"32""h",https://cdn.shopify.com/s/files/1/0932/6774/products/TC-60428.jpeg,,,,,,,,,,, 438.00,"32,",,Bradburn Home,TC-60428, 438.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/TC-60428_100x.jpeg,www.bradburnhome.com,TC-60428,True,{},
"30""h",https://cdn.shopify.com/s/files/1/0932/6774/products/TC-60426.jpeg,,,,,,,,,,, 358.00,"30,",,Bradburn Home,TC-60426, 358.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/TC-60426_100x.jpeg,www.bradburnhome.com,TC-60426,True,{},
"32""h",https://cdn.shopify.com/s/files/1/0932/6774/products/TC-60423.jpeg,,,,,,,,,,, 398.00,"32,",,Bradburn Home,TC-60423, 398.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/TC-60423_100x.jpeg,www.bradburnhome.com,TC-60423,True,{},
"37""h",https://cdn.shopify.com/s/files/1/0932/6774/products/TC-60417.jpeg,,,,,,,,,,, 418.00,"37,",,Bradburn Home,TC-60417, 418.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/TC-60417_100x.jpeg,www.bradburnhome.com,TC-60417,True,{},
"28""h",https://cdn.shopify.com/s/files/1/0932/6774/products/TC-60320.jpeg,,,,,,,,,,, 318.00,"28,",,Bradburn Home,TC-60320, 318.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/TC-60320_100x.jpeg,www.bradburnhome.com,TC-60320,True,{},
"31""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RZ-64189-C.jpeg,,,,,,1,Seagrass,Switch located on socket,,, 758.00,"31,",,Bradburn Home,RZ-64189-C, 758.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RZ-64189-C_100x.jpeg,www.bradburnhome.com,Celedon Cove,True,{},
"31""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RZ-64189.jpeg,,,,,,1,Soft Glow Linen,Switch located on socket,,, 658.00,"31,",,Bradburn Home,RZ-64189, 658.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RZ-64189_100x.jpeg,www.bradburnhome.com,Celedon Cove,True,{},
"30""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RZ-64188.jpeg,,,,,,,,,,, 658.00,"30,",,Bradburn Home,RZ-64188, 658.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RZ-64188_100x.jpeg,www.bradburnhome.com,Silver Cove,True,{},
"28""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RZ-63962.jpeg,,,,,,,,,,, 398.00,"28,",,Bradburn Home,RZ-63962, 398.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RZ-63962_100x.jpeg,www.bradburnhome.com,RZ-63962,True,{},
"30""h","https://cdn.shopify.com/s/files/1/0932/6774/products/RZ-63959-C_001.jpg,https://cdn.shopify.com/s/files/1/0932/6774/products/RZ-63959-C_004.jpg,https://cdn.shopify.com/s/files/1/0932/6774/products/RZ-63959-C_005.jpg,https://cdn.shopify.com/s/files/1/0932/6774/products/RZ-63959-C_003.jpg",,,,,,1,Seagrass,Switch located on socket,,, 758.00,"30,",,Bradburn Home,RZ-63959-C, 758.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RZ-63959-C_001_100x.jpg,www.bradburnhome.com,Tangerine Cove,True,{},
"30""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RZ-63959.jpeg,,,,,,1,Soft Glow Linen,Switch located on socket,,, 658.00,"30,",,Bradburn Home,RZ-63959, 658.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RZ-63959_100x.jpeg,www.bradburnhome.com,Tangerine Cove,True,{},
"30""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RZ-63958-C.jpg,,,,,,,,,,, 758.00,"30,",,Bradburn Home,RZ-63958-C, 758.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RZ-63958-C_100x.jpg,www.bradburnhome.com,Caribbean Cove,True,{},
"30""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RZ-63958.jpeg,,,,,,,,,,, 658.00,"30,",,Bradburn Home,RZ-63958, 658.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RZ-63958_100x.jpeg,www.bradburnhome.com,Caribbean Cove,True,{},
"31""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RZ-63810.jpeg,,,,,,,,,,, 598.00,"31,",,Bradburn Home,RZ-63810, 598.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RZ-63810_100x.jpeg,www.bradburnhome.com,RZ-63810,True,{},
"31""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RZ-63809.jpeg,,,,,,,,,,, 658.00,"31,",,Bradburn Home,RZ-63809, 658.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RZ-63809_100x.jpeg,www.bradburnhome.com,Tahitian Cove,True,{},
